observation_date,POILBREUSDA
1990-01-01,23.7066139657444
1991-01-01,20.0753703965117
1992-01-01,19.3582378129117
1993-01-01,17.0847592618734
1994-01-01,15.9596580478700
1995-01-01,17.1987480394002
1996-01-01,20.8085299814919
1997-01-01,19.3103236322856
1998-01-01,13.1262191480018
1999-01-01,18.1082192813225
2000-01-01,28.8452749623565
2001-01-01,24.7137627909530
2002-01-01,25.1150959752808
2003-01-01,28.7791027197440
2004-01-01,38.2335804473304
2005-01-01,54.6838476064998
2006-01-01,65.6047431065311
2007-01-01,72.6528058457243
2008-01-01,97.3301517582659
2009-01-01,61.5810495718050
2010-01-01,79.8070083443127
2011-01-01,111.5392264335910
2012-01-01,112.0116726974720
2013-01-01,108.9617254768180
2014-01-01,99.3454458011795
2015-01-01,53.0227124035385
2016-01-01,45.0790762438045
2017-01-01,54.8869160863291
2018-01-01,71.6125929873267
2019-01-01,64.1984739867620
2020-01-01,43.3338428226363
2021-01-01,70.8314995843529
2022-01-01,98.9963275770123
2023-01-01,82.3212430281072
2024-01-01,79.9117394049188
